time/fps,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
41181,0.9923525,644,-1024.75,25.75,0,4,,,,,
65633,0.97655875,1974,-1059.0,60.0,0,8,,,,,
63719,0.9750624999999999,2100,-604.5,105.0,0,12,,,,,
60975,,2100,-604.5,105.0,0,16,,,,,
64670,0.9685787499999999,2646,-648.25,98.8,0,20,,,,,
66525,0.96292625,3122,-427.9583333333333,95.20833333333333,0,24,,,,,
70540,0.955445,3752,-454.25,97.67857142857143,0,28,,,,,
71582,0.950125,4200,-425.8529411764706,102.82352941176471,0,32,,,,,
71236,0.9491275,4284,-434.25,101.41666666666667,0,36,,,,,
72479,0.94364125,4746,-375.725,101.225,0,40,,,,,
73058,0.93931875,5110,-348.4318181818182,98.95454545454545,0,44,,,,,
74791,0.9311725,5796,-350.625,101.125,0,48,,,,,
75913,0.92435625,6370,-389.1923076923077,101.25,0,52,,,,,
75218,0.92136375,6622,-419.67857142857144,98.78571428571429,0,56,,,,,
75415,0.9192025,6804,-394.3333333333333,94.88333333333334,0,60,,,,,
74339,0.91754,6944,-388.75384615384615,96.96923076923076,0,64,,,,,
74529,0.915545,7112,-372.44117647058823,93.57352941176471,0,68,,,,,
74381,0.9125525,7364,-393.1095890410959,92.28767123287672,0,72,,,,,
75091,0.906235,7896,-406.5131578947368,91.27631578947368,0,76,,,,,
75177,0.89941875,8470,-393.6875,94.2125,0,80,,,,,
76401,0.8912725,9156,-382.0833333333333,96.86904761904762,0,84,,,,,
76560,0.8876149999999999,9464,-355.4157303370786,97.48314606741573,0,88,,,,,
76688,0.8837912499999999,9786,-358.4891304347826,98.1086956521739,0,92,,,,,
55146,0.8812975,9996,-346.6979166666667,97.19791666666667,0,96,,,,,
55205,0.8791362500000001,10178,-365.42,95.93,0,100,,,,,
55486,0.87581125,10458,-305.66,96.17,0,104,,,,,
56279,0.8699925,10948,-295.79,96.29,0,108,,,,,
56824,0.86550375,11326,-292.89,93.42,0,112,,,,,
56998,0.86301,11536,-289.99,90.55,0,116,,,,,
57298,0.86018375,11774,-250.98,91.53,0,120,,,,,
57965,0.85636,12096,-310.93,91.48,0,124,,,,,
57566,0.8553625,12180,-259.19,89.75,0,128,,,,,
58181,0.85220375,12446,-256.26,86.85,0,132,,,,,
58453,0.8493774999999999,12684,-274.39,85.0,0,136,,,,,
59427,0.8423950000000001,13272,-262.44,83.07,0,140,,,,,
60746,0.8335837500000001,14014,-274.19,84.8,0,144,,,,,
60662,0.83158875,14182,-292.81,83.44,0,148,,,,,
60572,0.830425,14280,-291.49,82.12,0,152,,,,,
60742,0.8271000000000001,14560,-222.06,82.68,0,156,,,,,
61354,0.8224450000000001,14952,-244.98,85.59,0,160,,,,,
61363,0.8194525,15204,-263.63,84.26,0,164,,,,,
61870,0.8147975000000001,15596,-302.99,83.63,0,168,,,,,
62360,0.81097375,15918,-304.24,84.88,0,172,,,,,
62790,0.8054875000000001,16380,-295.42,86.05,0,176,,,,,
63163,0.80133125,16730,-282.55,83.2,0,180,,,,,
63620,0.7961775,17164,-300.4,81.07,0,184,,,,,
63874,0.791855,17528,-329.9,80.57,0,188,,,,,
63995,0.78902875,17766,-338.08,78.76,0,192,,,,,
64116,0.78603625,18018,-339.01,79.69,0,196,,,,,
64445,0.782545,18312,-330.12,80.79,0,200,,,,,
64950,0.7767262500000001,18802,-382.13,82.79,0,204,,,,,
65296,0.7712399999999999,19264,-372.15,82.8,0,208,,,,,
65720,0.7660862500000001,19698,-402.64,83.29,0,212,,,,,
65509,0.76176375,20062,-424.33,84.97,0,216,,,,,
65778,0.7582725000000001,20356,-473.13,83.79,0,220,,,,,
65616,0.754615,20664,-464.33,84.98,0,224,,,,,
65512,0.75262,20832,-473.06,83.72,0,228,,,,,
65351,0.7516225000000001,20916,-494.57,85.22,0,232,,,,,
65769,0.74580375,21406,-473.26,83.92,0,236,,,,,
65821,0.7404837500000001,21854,-485.14,85.78,0,240,,,,,
65730,0.7384887500000001,22022,-493.09,83.77,0,244,,,,,
65799,0.7363275,22204,-482.72,83.39,0,248,,,,,
65981,0.7330025,22484,-503.48,84.14,0,252,,,,,
65847,0.7303425000000001,22708,-551.23,81.91,0,256,,,,,
66133,0.726685,23016,-560.17,80.86,0,260,,,,,
66346,0.72219625,23394,-529.24,79.93,0,264,,,,,
66284,0.7197024999999999,23604,-529.79,80.48,0,268,,,,,
66657,0.7135512500000001,24122,-480.93,81.6,0,272,,,,,
66855,0.7080649999999999,24584,-490.66,81.34,0,276,,,,,
66737,0.70690125,24682,-520.86,81.54,0,280,,,,,
66780,0.7030775,25004,-478.14,78.84,0,284,,,,,
67016,0.6977574999999999,25452,-488.26,78.97,0,288,,,,,
67108,0.6944325,25732,-460.51,81.22,0,292,,,,,
67276,0.6902762499999999,26082,-430.09,80.8,0,296,,,,,
67723,0.6824625,26740,-438.44,79.16,0,300,,,,,
67426,0.681465,26824,-408.95,79.67,0,304,,,,,
67623,0.67797375,27118,-370.66,81.37,0,308,,,,,
68064,0.670825,27720,-360.97,81.67,0,312,,,,,
68142,0.6671675000000001,28028,-338.51,79.22,0,316,,,,,
68605,0.65968625,28658,-320.84,81.53,0,320,,,,,
68706,0.6565275000000002,28924,-290.9,81.59,0,324,,,,,
68760,0.653535,29176,-291.72,82.41,0,328,,,,,
68623,0.650875,29400,-321.61,82.3,0,332,,,,,
68902,0.6453887500000001,29862,-304.73,85.4,0,336,,,,,
69258,0.6372425,30548,-305.11,85.78,0,340,,,,,
69129,0.6354137499999999,30702,-293.88,84.54,0,344,,,,,
69158,0.6314237500000001,31038,-255.99,86.64,0,348,,,,,
69408,0.6267687500000001,31430,-217.39,88.03,0,352,,,,,
69626,0.6196200000000001,32032,-149.41,90.04,0,356,,,,,
69870,0.61413375,32494,-120.58,91.21,0,360,,,,,
70078,0.609645,32872,-94.82,95.42,0,364,,,,,
70021,0.60748375,33054,-86.19,96.78,0,368,,,,,
70138,0.6026625000000001,33460,-113.5,94.12,0,372,,,,,
70194,0.599005,33768,-92.29,92.92,0,376,,,,,
70601,0.59052625,34482,-115.19,95.81,0,380,,,,,
70761,0.5858712500000001,34874,-145.73,96.35,0,384,,,,,
70584,0.5847074999999999,34972,-135.29,95.9,0,388,,,,,
70568,0.58254625,35154,-133.63,94.24,0,392,,,,,
70807,0.5763950000000002,35672,-184.7,95.3,0,396,,,,,
70866,0.572405,36008,-176.53,97.12,0,400,,,,,
71113,0.56558875,36582,-176.34,96.93,0,404,,,,,
71056,0.5622637500000001,36862,-203.57,94.19,0,408,,,,,
71035,0.5596037500000002,37086,-211.99,92.62,0,412,,,,,
71107,0.5559462500000001,37394,-224.4,95.01,0,416,,,,,
71144,0.5521225000000001,37716,-232.26,92.88,0,420,,,,,
71144,0.5474675,38108,-262.83,93.45,0,424,,,,,
71051,0.54597125,38234,-262.88,93.5,0,428,,,,,
71384,0.53849,38864,-261.96,92.58,0,432,,,,,
71299,0.5351650000000001,39144,-308.92,89.56,0,436,,,,,
71218,0.53267125,39354,-309.03,89.67,0,440,,,,,
71102,0.5308425000000001,39508,-309.85,90.49,0,444,,,,,
71088,0.527185,39816,-338.44,89.08,0,448,,,,,
71144,0.5221975,40236,-377.46,88.11,0,452,,,,,
71258,0.5187062500000001,40530,-436.88,87.53,0,456,,,,,
71369,0.51189,41104,-456.06,86.7,0,460,,,,,
71280,0.5102275000000002,41244,-463.59,84.24,0,464,,,,,
71379,0.5024137500000001,41902,-462.51,83.16,0,468,,,,,
71391,0.49809125,42266,-452.5,83.14,0,472,,,,,
71296,0.49676125000000004,42378,-455.3,85.91,0,476,,,,,
71319,0.49443375,42574,-463.16,83.78,0,480,,,,,
71318,0.491275,42840,-432.05,82.67,0,484,,,,,
71458,0.48662000000000005,43232,-402.74,83.36,0,488,,,,,
71444,0.4841262500000001,43442,-433.22,83.84,0,492,,,,,
71639,0.4773100000000001,44016,-402.67,83.29,0,496,,,,,
71778,0.4718237500000001,44478,-402.73,83.35,0,500,,,,,
71520,0.4660049999999999,44968,-423.15,83.76,0,504,,,,,
71534,0.463345,45192,-450.91,81.52,0,508,,,,,
71539,0.46118375,45374,-441.77,82.37,0,512,,,,,
71719,0.45386875000000015,45990,-411.83,82.43,0,516,,,,,
71835,0.4503775000000001,46284,-402.05,82.64,0,520,,,,,
71904,0.44738500000000003,46536,-392.26,82.84,0,524,,,,,
72080,0.440735,47096,-404.49,85.05,0,528,,,,,
72094,0.43674499999999994,47432,-357.76,88.3,0,532,,,,,
72102,0.4327550000000001,47768,-319.86,90.39,0,536,,,,,
72388,0.4247750000000001,48440,-299.17,89.71,0,540,,,,,
72355,0.42228125000000016,48650,-329.59,90.13,0,544,,,,,
72415,0.41845750000000015,48972,-331.61,92.15,0,548,,,,,
72520,0.4133037500000002,49406,-340.99,91.54,0,552,,,,,
72524,0.40981250000000014,49700,-320.58,91.14,0,556,,,,,
20316,0.4031625,50260,-320.73,91.29,2,560,0.0001,1000,9.944084763526917,,
9981,0.39767625000000006,50722,-312.17,92.72,5,564,0.0001,2600,9.274058008790016,,
7557,0.3941850000000001,51016,-303.74,94.28,6,568,0.0001,3600,7.531751826107502,,
5789,0.3896962500000001,51394,-334.79,95.33,8,572,0.0001,5000,7.977116442620754,,
4834,0.38570625000000014,51730,-353.57,94.13,10,576,0.0001,6200,6.448406073898077,,
3960,0.3807187500000001,52150,-335.64,96.18,13,580,0.0001,7800,8.23976718813181,,
3313,0.37440125000000013,52682,-325.22,95.78,15,584,0.0001,9600,8.396267247349023,,
2806,0.3679175000000001,53228,-307.7,98.24,18,588,0.0001,11600,5.881342518106103,,
2636,0.36509125,53466,-308.02,98.56,20,592,0.0001,12400,6.7766610740870235,,
2429,0.3609350000000001,53816,-316.22,96.77,22,596,0.0001,13600,5.509526009894907,,
2302,0.35860749999999997,54012,-316.61,97.16,23,600,0.0001,14400,6.776746824979782,,
2187,0.3559475000000001,54236,-294.6,95.16,24,604,0.0001,15200,7.248626429513097,,
1889,0.34780125000000006,54922,-278.08,98.62,29,608,0.0001,17600,5.869936800971627,,
1534,0.3398212500000002,55594,-288.63,99.18,36,612,0.0001,20000,9.17117445461452,,
1467,0.3378262500000001,55762,-319.4,99.95,37,616,0.0001,20600,7.992506852224469,,
1409,0.3351662500000001,55986,-269.23,99.79,39,620,0.0001,21400,7.280447783842683,,
1362,0.33217375000000005,56238,-287.33,97.91,41,624,0.0001,22400,6.725710628107191,,
1313,0.3281837500000001,56574,-286.32,96.9,43,628,0.0001,23600,7.271472665667534,,
1231,0.3207025000000001,57204,-324.76,95.35,46,632,0.0001,25800,6.9131596604734655,,
1204,0.31787624999999997,57442,-333.87,94.47,47,636,0.0001,26600,7.633459956198931,,
1154,0.31288875000000005,57862,-384.3,94.89,50,640,0.0001,28200,8.05401775278151,,
1119,0.30889875,58198,-375.05,95.63,51,644,0.0001,29400,8.410457561165094,,
1101,0.3067375000000001,58380,-343.89,94.47,53,648,0.0001,30000,9.070401340425015,,
1057,0.30158375000000015,58814,-283.94,94.52,55,652,0.0001,31600,7.78500942081213,,
1057,0.30108500000000005,58856,-282.76,93.34,55,656,,,,,
1026,0.2970950000000001,59192,-239.37,89.97,57,660,0.0001,32800,9.461900039315223,,
994,0.29310500000000006,59528,-279.2,89.81,59,664,0.0001,34000,9.823332271948457,,
956,0.28795125,59962,-258.65,89.27,62,668,0.0001,35600,10.11194937750697,,
939,0.28545750000000003,60172,-240.01,90.64,64,672,0.0001,36400,12.531505294516682,,
883,0.27814250000000007,60788,-218.99,89.63,68,676,0.0001,38600,9.78194702435285,,
836,0.27315500000000015,61208,-217.81,88.48,73,680,0.0001,40000,10.794537925757467,,
778,0.26667125000000014,61754,-268.67,89.33,79,684,0.0001,42000,9.619535499662161,,
746,0.26301375000000016,62062,-298.98,89.64,83,688,0.0001,43200,12.564117671512067,,
716,0.2580262500000001,62482,-290.05,90.7,87,692,0.0001,44600,8.927719159312547,,
674,0.2515425000000001,63028,-319.96,90.61,93,696,0.0001,46600,8.409669405631721,,
659,0.24904875000000004,63238,-328.26,88.92,95,700,0.0001,47400,8.585081346929073,,
637,0.24456000000000022,63616,-349.54,90.19,99,704,0.0001,48600,7.256108519136905,,
615,0.24040375000000003,63966,-328.57,89.23,103,708,0.0001,50000,8.845780072957277,,
606,0.2380762500000001,64162,-319.04,89.69,105,712,0.0001,50600,7.155130584239959,,
598,0.23591499999999999,64344,-328.31,88.97,107,716,0.0001,51200,8.787197273224592,,
554,0.22494250000000005,65268,-379.06,89.71,117,720,0.0001,54600,6.51542400971055,,
542,0.22178374999999995,65534,-349.27,89.92,120,724,0.0001,55600,9.158881434984504,,
536,0.21962250000000016,65716,-318.83,89.48,122,728,0.0001,56200,7.637396090254188,,
521,0.2149675000000001,66108,-280.06,90.7,126,732,0.0001,57600,6.530868887957186,,
515,0.21313875000000004,66262,-239.69,90.32,128,736,0.0001,58200,6.618515804521739,,
511,0.2113100000000001,66416,-248.52,89.16,129,740,0.0001,58600,10.29617874097079,,
503,0.20565750000000005,66892,-257.15,87.8,132,744,0.0001,60400,5.739062713645398,,
499,0.20233250000000003,67172,-295.43,86.09,134,748,0.0001,61400,10.439440659694373,,
494,0.1978437500000001,67550,-354.46,85.12,136,752,0.0001,62800,9.970575344227255,,
489,0.1935212500000001,67914,-376.88,87.53,138,756,0.0001,64000,10.296030808016658,,
486,0.19003000000000003,68208,-390.77,91.4,140,760,0.0001,65000,9.233130418621004,,
478,0.1865387500000001,68502,-359.9,90.53,143,764,0.0001,66200,9.381861208379268,,
469,0.18205000000000016,68880,-389.76,90.39,146,768,0.0001,67400,10.711308371722698,,
454,0.17556625000000003,69426,-400.04,90.65,152,772,0.0001,69400,9.760199571736157,,
,0.1689162500000001,70000,,,,,0.0001,71400,8.009569626227021,150.0,-150.0
447,0.16858375000000003,70014,-399.59,90.2,156,776,0.0001,71600,10.334690445028246,,
441,0.16043750000000012,70700,-427.06,87.67,160,780,0.0001,74000,7.592816510535776,,
430,0.14547500000000002,71960,-407.42,88.04,167,784,0.0001,78400,5.303337278924882,,
428,0.14381250000000012,72100,-408.07,88.69,168,788,0.0001,79000,9.163167405351997,,
428,,72100,-408.07,88.69,168,792,,,,,
422,0.13483500000000004,72856,-390.46,91.06,172,796,0.0001,81600,5.49649931455031,,
412,0.12070375000000011,74046,-342.78,93.39,179,800,0.0001,86000,4.03574127282016,,
412,0.11887500000000006,74200,-337.19,97.76,179,804,0.0001,86400,5.79022118858993,,
411,0.11870875000000003,74214,-345.69,96.27,180,808,0.0001,86600,5.390387756042182,,
409,0.11455250000000017,74564,-344.8,95.38,182,812,0.0001,87800,4.571505024544894,,
405,0.10707124999999995,75194,-283.98,94.56,185,816,0.0001,90000,5.355837973169982,,
399,0.09726250000000003,76020,-274.94,95.51,190,820,0.0001,93000,5.350075731528923,,
397,0.09393750000000001,76300,-287.16,97.71,191,824,0.0001,94000,4.114024418117478,,
397,0.09294000000000013,76384,-279.39,99.93,192,828,0.0001,94200,6.186548459939659,,
394,0.08745375,76846,-287.53,98.08,195,832,0.0001,96000,4.109858594890684,,
389,0.07947375000000001,77518,-308.91,99.45,199,836,0.0001,98400,4.051269189659506,,
385,0.07232499999999997,78120,-341.83,102.37,202,840,0.0001,100400,3.0238072006218135,,
382,0.06633999999999995,78624,-324.27,104.79,205,844,0.0001,102200,5.005531050632708,,
381,0.06451125000000002,78778,-315.01,105.52,206,848,0.0001,102800,3.626092073731124,,
378,0.06018875000000001,79142,-315.1,105.61,209,852,0.0001,104200,6.25535318672657,,
375,0.054536250000000064,79618,-267.24,107.73,211,856,0.0001,105800,4.883065507495775,,
372,0.05,80094,-306.19,106.69,214,860,0.0001,107600,5.600990666355938,,
372,0.05,80220,-306.69,107.19,215,864,0.0001,108000,3.6784016098827124,,
369,0.05,80822,-306.0,106.5,218,868,0.0001,110200,5.057798261223361,,
368,0.05,80934,-243.12,103.62,219,872,0.0001,110600,8.229702648427338,,
365,0.05,81648,-235.27,105.76,223,876,0.0001,113000,4.813351125121117,,
363,0.05,81998,-217.44,107.91,225,880,0.0001,114400,5.575678502181545,,
362,0.05,82292,-218.94,109.38,227,884,0.0001,115400,6.5375811322499064,,
361,0.05,82516,-218.61,109.05,228,888,0.0001,116200,5.855385713232681,,
356,0.05,83552,-228.07,108.52,234,892,0.0001,119800,6.8184017396532,,
353,0.05,84084,-207.84,108.3,237,896,0.0001,121800,8.362284616963006,,
352,0.05,84476,-228.89,109.31,239,900,0.0001,123200,4.741857737824321,,
350,0.05,84798,-238.48,108.91,241,904,0.0001,124400,4.737947132759728,,
342,0.05,85526,-256.26,106.71,249,908,0.0001,127000,4.0800740451039745,,
338,0.05,85974,-238.85,109.28,254,912,0.0001,128600,3.778494134573266,,
333,0.05,86436,-289.97,110.39,259,916,0.0001,130200,2.537678639427759,,
332,0.05,86576,-289.99,110.41,260,920,0.0001,130600,3.048303723153658,,
332,0.05,86618,-276.3,106.74,260,924,0.0001,130800,4.2000446449499576,,
326,0.05,87234,-305.5,105.94,267,928,0.0001,133000,4.63791426116135,,
321,0.05,87710,-327.81,108.24,272,932,0.0001,134800,2.586667491691187,,
318,0.05,88424,-254.59,105.04,277,936,0.0001,137200,4.884540760135278,,
317,0.05,88592,-205.45,105.88,278,940,0.0001,137800,3.6386652828287334,,
315,0.05,89222,-196.17,106.59,282,944,0.0001,140200,3.7825097431335597,,
314,0.05,89796,-179.08,109.48,285,948,0.0001,142200,4.741169971050694,,
312,0.05,90440,-149.65,110.05,289,952,0.0001,144400,7.11794941034168,,
311,0.05,90678,-169.91,110.3,290,956,0.0001,145400,5.779686622475274,,
311,0.05,90832,-151.08,111.45,291,960,0.0001,145800,6.977906718724407,,
307,0.05,91826,-171.97,112.33,299,964,0.0001,149400,2.73382348886691,,
